,,,,,,,,Producer/Merchant/Processor/User - All - Long ,Producer/Merchant/Processor/User - All - Short,Swap Dealers – All - Long,Swap Dealers – All – Short,,Managed Money - All - Long,Managed Money - All - Short,,Other Reportables - All - Long,Other Reportables - All - Short,,,,Nonreportable Positions – Long,Nonreportable Positions – Short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUB - TAILGATE LOUISIANA (INDEX) - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233AH,IFED,1,23,177807,92645,127802,58986,24010,5007,14105,1532,1485,3778,11132,837,176843,171805,964,6002,177807,92645,127802,58986,24010,5007,14105,1532,1485,3778,11132,837,176843,171805,964,6002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8875,6072,4343,1619,-372,998,806,-792,-76,-314,62,0,9105,4163,-230,4712,100,52.1,71.9,33.2,13.5,2.8,7.9,0.9,0.8,2.1,6.3,0.5,99.5,96.6,0.5,3.4,100,52.1,71.9,33.2,13.5,2.8,7.9,0.9,0.8,2.1,6.3,0.5,99.5,96.6,0.5,3.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,32,38,8,7,7,.,.,.,5,5,.,54,57,82,32,38,8,7,7,.,.,.,5,5,.,54,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.3,34.7,60.7,50.4,40.2,33.1,59.6,48.5,41.3,34.7,60.7,50.4,40.2,33.1,59.6,48.5,0,0,0,0,0,0,0,0,2500 mmbtu,0233AH,IFED,23,N13,FutOnly
HOUSTON SHIP CHANNEL (INDEX) - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233AM,IFED,1,23,206325,170616,182063,23817,17346,2908,484,682,309,7124,1943,279,205537,205530,788,795,206325,170616,182063,23817,17346,2908,484,682,309,7124,1943,279,205537,205530,788,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,26,-94,0,0,0,0,0,0,0,213,0,26,119,93,0,100,82.7,88.2,11.5,8.4,1.4,0.2,0.3,0.1,3.5,0.9,0.1,99.6,99.6,0.4,0.4,100,82.7,88.2,11.5,8.4,1.4,0.2,0.3,0.1,3.5,0.9,0.1,99.6,99.6,0.4,0.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,27,27,5,.,.,.,.,.,.,.,.,37,36,54,27,27,5,.,.,.,.,.,.,.,.,37,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.3,58.9,66.9,75.3,43.1,48.5,58.7,62.1,47.3,58.9,66.9,75.3,43.1,48.5,58.7,62.1,0,0,0,0,0,0,0,0,2500 mmbtu,0233AM,IFED,23,N13,FutOnly
MICHCON FINANCIAL INDEX - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233AN,IFED,1,23,37097,20362,34228,13850,651,0,0,558,0,217,310,62,34491,35809,2606,1288,37097,20362,34228,13850,651,0,0,558,0,217,310,62,34491,35809,2606,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4740,295,4221,4228,372,0,-248,0,0,217,-62,62,4554,4593,186,147,100,54.9,92.3,37.3,1.8,0,0,1.5,0,0.6,0.8,0.2,93,96.5,7,3.5,100,54.9,92.3,37.3,1.8,0,0,1.5,0,0.6,0.8,0.2,93,96.5,7,3.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,11,.,.,0,0,.,0,.,.,.,13,15,25,8,11,.,.,0,0,.,0,.,.,.,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.3,69.5,83.6,89.3,62.3,69.5,83.1,87.7,62.3,69.5,83.6,89.3,62.3,69.5,83.1,87.7,0,0,0,0,0,0,0,0,MMBTU,0233AN,IFED,23,N13,FutOnly
MICHIGAN CONSOLIDATED CITYGATE (GENERIC) (BASIS) - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233AQ,IFED,1,23,221509,156355,120184,36774,75858,17808,0,2071,248,372,486,1102,212659,217757,8850,3752,221509,156355,120184,36774,75858,17808,0,2071,248,372,486,1102,212659,217757,8850,3752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4422,4138,3061,-33,-187,491,0,0,0,124,455,-69,4651,3751,-229,671,100,70.6,54.3,16.6,34.2,8,0,0.9,0.1,0.2,0.2,0.5,96,98.3,4,1.7,100,70.6,54.3,16.6,34.2,8,0,0.9,0.1,0.2,0.2,0.5,96,98.3,4,1.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,27,29,4,7,5,0,.,.,.,.,.,37,41,50,27,29,4,7,5,0,.,.,.,.,.,37,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.3,42.4,64.6,59.3,44.5,42.1,56.8,55.8,45.3,42.4,64.6,59.3,44.5,42.1,56.8,55.8,0,0,0,0,0,0,0,0,2500 mmbtu,0233AQ,IFED,23,N13,FutOnly
NAT GAS LD1 for GDD -TEXOK - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233AT,IFED,1,23,92245,88769,90790,1204,744,124,1215,0,0,0,0,0,91312,91658,933,587,92245,88769,90790,1204,744,124,1215,0,0,0,0,0,91312,91658,933,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,-31,0,0,0,0,0,0,0,0,0,31,-31,-31,31,100,96.2,98.4,1.3,0.8,0.1,1.3,0,0,0,0,0,99,99.4,1,0.6,100,96.2,98.4,1.3,0.8,0.1,1.3,0,0,0,0,0,99,99.4,1,0.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13,18,.,.,.,.,0,0,0,0,0,17,21,28,13,18,.,.,.,.,0,0,0,0,0,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.4,85.8,92.4,92.8,85.6,82.6,89.9,87.5,86.4,85.8,92.4,92.8,85.6,82.6,89.9,87.5,0,0,0,0,0,0,0,0,2500 mmbtu,0233AT,IFED,23,N13,FutOnly
NATURAL GAS PIPELINE-MID-CONTINENT POOL PIN (BASIS) - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233AY,IFED,1,23,79351,50444,44474,5632,21019,7486,3295,0,84,0,208,480,67421,73751,11930,5600,79351,50444,44474,5632,21019,7486,3295,0,84,0,208,480,67421,73751,11930,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681,-84,2177,994,151,-1208,1568,0,0,0,-28,0,1270,1092,411,589,100,63.6,56,7.1,26.5,9.4,4.2,0,0.1,0,0.3,0.6,85,92.9,15,7.1,100,63.6,56,7.1,26.5,9.4,4.2,0,0.1,0,0.3,0.6,85,92.9,15,7.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,12,.,4,5,.,0,.,0,.,.,18,20,23,11,12,.,4,5,.,0,.,0,.,.,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.2,47.9,72.9,70.3,38.9,42.2,52.1,58.3,53.2,47.9,72.9,70.3,38.9,42.2,52.1,58.3,0,0,0,0,0,0,0,0,2500 mmbtu,0233AY,IFED,23,N13,FutOnly
NATURAL GAS PIPELINE-TEXOK (BASIS) - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233B1,IFED,1,23,207985,196790,140890,2816,58115,1114,0,1813,944,1888,557,0,203552,203433,4433,4552,207985,196790,140890,2816,58115,1114,0,1813,944,1888,557,0,203552,203433,4433,4552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4057,4160,2677,489,1090,-155,0,100,-100,0,155,0,4394,3767,-337,290,100,94.6,67.7,1.4,27.9,0.5,0,0.9,0.5,0.9,0.3,0,97.9,97.8,2.1,2.2,100,94.6,67.7,1.4,27.9,0.5,0,0.9,0.5,0.9,0.3,0,97.9,97.8,2.1,2.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,22,22,.,7,.,0,.,.,.,.,0,26,32,42,22,22,.,7,.,0,.,.,.,.,0,26,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,50.3,77,68.9,54,39.7,68.7,55.2,56.4,50.3,77,68.9,54,39.7,68.7,55.2,0,0,0,0,0,0,0,0,2500 mmbtu,0233B1,IFED,23,N13,FutOnly
NORTHERN NATURAL GAS - VENTURA (BASIS) - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233BB,IFED,1,23,164090,130187,144028,18497,1036,9312,0,0,0,0,2536,525,158521,157437,5569,6653,164090,130187,144028,18497,1036,9312,0,0,0,0,2536,525,158521,157437,5569,6653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,580,-344,-124,0,0,0,0,0,0,1168,-263,193,561,921,553,100,79.3,87.8,11.3,0.6,5.7,0,0,0,0,1.5,0.3,96.6,95.9,3.4,4.1,100,79.3,87.8,11.3,0.6,5.7,0,0,0,0,1.5,0.3,96.6,95.9,3.4,4.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,17,14,4,.,4,0,0,0,0,.,.,23,21,30,17,14,4,.,4,0,0,0,0,.,.,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,72.4,73.3,83.9,49,69.2,66.2,75.5,52.4,72.4,73.3,83.9,49,69.2,66.2,75.5,0,0,0,0,0,0,0,0,2500 mmbtu,0233BB,IFED,23,N13,FutOnly
NORTHWEST PIPELINE - CANADIAN BORDER (BASIS) - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233BC,IFED,1,23,91531,52202,56832,30443,27698,1217,0,0,0,1364,0,0,85226,85747,6305,5784,91531,52202,56832,30443,27698,1217,0,0,0,1364,0,0,85226,85747,6305,5784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398,1729,-350,-968,122,271,0,0,0,0,0,0,1032,43,366,1355,100,57,62.1,33.3,30.3,1.3,0,0,0,1.5,0,0,93.1,93.7,6.9,6.3,100,57,62.1,33.3,30.3,1.3,0,0,0,1.5,0,0,93.1,93.7,6.9,6.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,11,12,5,.,5,0,0,0,.,0,0,21,17,25,11,12,5,.,5,0,0,0,.,0,0,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.9,62.6,76.2,83,50.3,62.1,70.3,81.3,54.9,62.6,76.2,83,50.3,62.1,70.3,81.3,0,0,0,0,0,0,0,0,2500 mmbtu,0233BC,IFED,23,N13,FutOnly
NORTHWEST PIPELINE CORP. - ROCKY MOUNTAINS - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233BD,IFED,1,23,30095,22996,26419,502,713,651,0,0,0,1711,0,496,26356,28279,3739,1816,30095,22996,26419,502,713,651,0,0,0,1711,0,496,26356,28279,3739,1816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-782,-1278,-906,0,0,0,-465,0,0,304,0,0,-1439,-906,657,124,100,76.4,87.8,1.7,2.4,2.2,0,0,0,5.7,0,1.6,87.6,94,12.4,6,100,76.4,87.8,1.7,2.4,2.2,0,0,0,5.7,0,1.6,87.6,94,12.4,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,14,14,.,.,.,0,0,0,.,0,.,16,17,25,14,14,.,.,.,0,0,0,.,0,.,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.2,47.1,73.4,71.9,49.6,41.3,64.5,61.7,52.2,47.1,73.4,71.9,49.6,41.3,64.5,61.7,0,0,0,0,0,0,0,0,2500 mmbtu,0233BD,IFED,23,N13,FutOnly
PACIFIC GAS TRANSMISSION - MALIN (BASIS) - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233BH,IFED,1,23,207264,176276,134040,13626,54169,2894,2865,0,360,4449,0,0,200470,191463,6794,15801,207264,176276,134040,13626,54169,2894,2865,0,360,4449,0,0,200470,191463,6794,15801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937,-2199,2169,-63,-1304,-82,1744,0,0,0,0,0,-600,783,1537,154,100,85,64.7,6.6,26.1,1.4,1.4,0,0.2,2.1,0,0,96.7,92.4,3.3,7.6,100,85,64.7,6.6,26.1,1.4,1.4,0,0.2,2.1,0,0,96.7,92.4,3.3,7.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,12,14,.,4,.,.,0,.,.,0,0,17,20,29,12,14,.,4,.,.,0,.,.,0,0,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.7,51,91.9,76.5,80.7,50,91,75.3,80.7,51,91.9,76.5,80.7,50,91,75.3,0,0,0,0,0,0,0,0,2500 mmbtu,0233BH,IFED,23,N13,FutOnly
PANHANDLE EASTERN- POOL GAS (BASIS) - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233BL,IFED,1,23,142587,107904,76289,9255,46732,10413,0,511,880,4426,0,0,132878,134825,9709,7762,142587,107904,76289,9255,46732,10413,0,511,880,4426,0,0,132878,134825,9709,7762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2179,-1393,-1759,-1031,-611,62,0,-973,0,-384,0,-748,-3494,-4029,1315,1850,100,75.7,53.5,6.5,32.8,7.3,0,0.4,0.6,3.1,0,0,93.2,94.6,6.8,5.4,100,75.7,53.5,6.5,32.8,7.3,0,0.4,0.6,3.1,0,0,93.2,94.6,6.8,5.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,24,19,.,9,7,0,.,.,.,0,0,33,31,42,24,19,.,9,7,0,.,.,.,0,0,33,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.4,51.6,66.5,65.8,45.3,46.2,63.2,59,48.4,51.6,66.5,65.8,45.3,46.2,63.2,59,0,0,0,0,0,0,0,0,2500 mmbtu,0233BL,IFED,23,N13,FutOnly
TEXAS EASTERN- M3 ZONE (DELIVERED) - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233CG,IFED,1,23,49845,28003,40200,12993,0,2928,0,2135,0,372,620,0,44296,45883,5549,3962,49845,28003,40200,12993,0,2928,0,2135,0,372,620,0,44296,45883,5549,3962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,-5101,-1671,448,0,0,0,-930,0,0,0,0,-4653,-2601,4836,2784,100,56.2,80.7,26.1,0,5.9,0,4.3,0,0.7,1.2,0,88.9,92.1,11.1,7.9,100,56.2,80.7,26.1,0,5.9,0,4.3,0,0.7,1.2,0,88.9,92.1,11.1,7.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,12,17,5,0,.,0,.,0,.,.,0,18,22,33,12,17,5,0,.,0,.,0,.,.,0,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.7,58.8,76.9,71.3,54,56.4,68.5,68.1,61.7,58.8,76.9,71.3,54,56.4,68.5,68.1,0,0,0,0,0,0,0,0,2500 mmbtu,0233CG,IFED,23,N13,FutOnly
TEXAS EASTERN- M3 ZONE (DELIVERED) (BASIS) - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233CH,IFED,1,23,244553,187365,91912,24446,114752,15346,0,9401,1120,3635,279,1836,233748,234646,10805,9907,244553,187365,91912,24446,114752,15346,0,9401,1120,3635,279,1836,233748,234646,10805,9907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3818,-8575,4713,912,-8734,-815,0,-1209,-121,92,-275,525,-7982,-5916,4164,2098,100,76.6,37.6,10,46.9,6.3,0,3.8,0.5,1.5,0.1,0.8,95.6,95.9,4.4,4.1,100,76.6,37.6,10,46.9,6.3,0,3.8,0.5,1.5,0.1,0.8,95.6,95.9,4.4,4.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,26,23,.,8,5,0,5,.,.,.,.,39,39,51,26,23,.,8,5,0,5,.,.,.,.,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.9,46.3,70.1,61.3,46.1,46,68.9,59.5,46.9,46.3,70.1,61.3,46.1,46,68.9,59.5,0,0,0,0,0,0,0,0,2500 mm btu,0233CH,IFED,23,N13,FutOnly
TRANSCO ZONE 6 BASIS - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233CU,IFED,1,23,152937,122457,81333,8275,56157,7640,7739,434,0,0,498,60,146171,146122,6766,6815,152937,122457,81333,8275,56157,7640,7739,434,0,0,498,60,146171,146122,6766,6815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4179,2453,-547,55,3471,400,-627,0,0,0,-60,60,2341,3324,1838,855,100,80.1,53.2,5.4,36.7,5,5.1,0.3,0,0,0.3,0,95.6,95.5,4.4,4.5,100,80.1,53.2,5.4,36.7,5,5.1,0.3,0,0,0.3,0,95.6,95.5,4.4,4.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,22,14,5,4,5,.,.,0,0,.,.,32,23,37,22,14,5,4,5,.,.,0,0,.,.,32,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5,65.7,65.8,78.3,51.5,61.3,63.6,71.9,51.5,65.7,65.8,78.3,51.5,61.3,63.6,71.9,0,0,0,0,0,0,0,0,mmbtu,0233CU,IFED,23,N13,FutOnly
TRANSCO ZONE 6 MONTHLY INDEX - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233CV,IFED,1,23,28325,17919,20354,465,2598,3978,3717,0,0,0,248,0,26079,27178,2246,1147,28325,17919,20354,465,2598,3978,3717,0,0,0,248,0,26079,27178,2246,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,-930,0,0,0,-1439,0,0,0,0,0,-1439,-930,1563,1054,100,63.3,71.9,1.6,9.2,14,13.1,0,0,0,0.9,0,92.1,96,7.9,4,100,63.3,71.9,1.6,9.2,14,13.1,0,0,0,0.9,0,92.1,96,7.9,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,10,.,.,.,.,0,0,0,.,0,10,12,20,6,10,.,.,.,.,0,0,0,.,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.9,77.9,89.1,92.2,64.2,63.9,76.5,78.2,72.9,77.9,89.1,92.2,64.2,63.9,76.5,78.2,0,0,0,0,0,0,0,0,mmbtu,0233CV,IFED,23,N13,FutOnly
TRANSCONTINENTAL GAS- STATION 85 (ZONE 4) - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233CW,IFED,1,23,92004,61631,77916,16448,7660,3252,1932,0,0,0,0,0,83263,88828,8741,3176,92004,61631,77916,16448,7660,3252,1932,0,0,0,0,0,83263,88828,8741,3176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3299,3115,2685,485,0,214,0,0,0,0,0,0,3814,2899,-515,400,100,67,84.7,17.9,8.3,3.5,2.1,0,0,0,0,0,90.5,96.5,9.5,3.5,100,67,84.7,17.9,8.3,3.5,2.1,0,0,0,0,0,90.5,96.5,9.5,3.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,12,16,6,.,4,.,0,0,0,0,0,19,21,30,12,16,6,.,4,.,0,0,0,0,0,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,65.8,67.7,83.8,44.8,61,62,77.6,49,65.8,67.7,83.8,44.8,61,62,77.6,0,0,0,0,0,0,0,0,2500 mm btu,0233CW,IFED,23,N13,FutOnly
WAHA HUB - WEST TEXAS DELIVERED/BUYER'S INDEX - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233D4,IFED,1,23,51439,48530,22991,1951,19661,90,0,5281,353,248,310,0,51172,48686,267,2753,51439,48530,22991,1951,19661,90,0,5281,353,248,310,0,51172,48686,267,2753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,62,0,0,0,0,0,0,31,31,0,31,93,93,31,100,94.3,44.7,3.8,38.2,0.2,0,10.3,0.7,0.5,0.6,0,99.5,94.6,0.5,5.4,100,94.3,44.7,3.8,38.2,0.2,0,10.3,0.7,0.5,0.6,0,99.5,94.6,0.5,5.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,16,15,.,.,.,0,.,.,.,.,0,19,22,32,16,15,.,.,.,0,.,.,.,.,0,19,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,54.4,74.5,77,45.3,52.6,66.3,71.6,48,54.4,74.5,77,45.3,52.6,66.3,71.6,0,0,0,0,0,0,0,0,2500 mm btu,0233D4,IFED,23,N13,FutOnly
TETCO M2 Basis (Receipts) - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233DR,IFED,1,23,350035,252825,53168,80652,273875,4653,0,6466,0,0,4303,0,338130,342465,11905,7570,350035,252825,53168,80652,273875,4653,0,6466,0,0,4303,0,338130,342465,11905,7570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5834,4676,242,24,3432,204,0,-1570,0,0,403,0,4904,2711,930,3123,100,72.2,15.2,23,78.2,1.3,0,1.8,0,0,1.2,0,96.6,97.8,3.4,2.2,100,72.2,15.2,23,78.2,1.3,0,1.8,0,0,1.2,0,96.6,97.8,3.4,2.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,30,17,.,6,.,0,.,0,0,.,0,34,30,47,30,17,.,6,.,0,.,0,0,.,0,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.8,68.7,64.7,86.7,44.8,67.7,61.5,82.9,45.8,68.7,64.7,86.7,44.8,67.7,61.5,82.9,0,0,0,0,0,0,0,0,2500 MM Btus,0233DR,IFED,23,N13,FutOnly
TRANSCO LEIDY BASIS - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233DT,IFED,1,23,101152,59034,32534,20259,54744,12607,248,0,960,0,0,0,93108,100845,8044,307,101152,59034,32534,20259,54744,12607,248,0,960,0,0,0,93108,100845,8044,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3888,1116,1872,2147,1848,436,-124,0,0,0,0,0,3575,4156,313,-268,100,58.4,32.2,20,54.1,12.5,0.2,0,0.9,0,0,0,92,99.7,8,0.3,100,58.4,32.2,20,54.1,12.5,0.2,0,0.9,0,0,0,92,99.7,8,0.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,13,11,.,4,.,.,0,.,0,0,0,18,18,26,13,11,.,4,.,.,0,.,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.8,71.8,74.9,91.8,52.8,71.4,67.9,83.1,52.8,71.8,74.9,91.8,52.8,71.4,67.9,83.1,0,0,0,0,0,0,0,0,2500 mm btu,0233DT,IFED,23,N13,FutOnly
TETCO M2 Index (Receipts) - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233DW,IFED,1,23,36084,15368,33085,17713,496,0,0,837,638,248,0,0,33967,35056,2117,1028,36084,15368,33085,17713,496,0,0,837,638,248,0,0,33967,35056,2117,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,-310,-372,0,248,0,-124,558,-744,0,0,0,-1178,-310,1240,372,100,42.6,91.7,49.1,1.4,0,0,2.3,1.8,0.7,0,0,94.1,97.2,5.9,2.8,100,42.6,91.7,49.1,1.4,0,0,2.3,1.8,0.7,0,0,94.1,97.2,5.9,2.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,12,.,.,0,0,.,.,.,0,0,12,15,25,9,12,.,.,0,0,.,.,.,0,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.5,61.2,90.2,82.2,80.5,61.2,88.9,82.2,80.5,61.2,90.2,82.2,80.5,61.2,88.9,82.2,0,0,0,0,0,0,0,0,2500 MM Btus,0233DW,IFED,23,N13,FutOnly
REX ZONE 3 BASIS - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233EB,IFED,1,23,224580,194509,183864,13100,29574,7039,725,0,15,0,310,93,215481,220895,9099,3685,224580,194509,183864,13100,29574,7039,725,0,15,0,310,93,215481,220895,9099,3685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1367,-3285,658,304,0,0,0,0,0,0,-91,31,-2950,598,4317,769,100,86.6,81.9,5.8,13.2,3.1,0.3,0,0,0,0.1,0,95.9,98.4,4.1,1.6,100,86.6,81.9,5.8,13.2,3.1,0.3,0,0,0,0.1,0,95.9,98.4,4.1,1.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,16,21,.,5,.,.,0,.,0,.,.,22,30,35,16,21,.,5,.,.,0,.,0,.,.,22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.5,59.7,80.6,74.9,58.7,57.3,75,70.3,59.5,59.7,80.6,74.9,58.7,57.3,75,70.3,0,0,0,0,0,0,0,0,2500 MMBtus,0233EB,IFED,23,N13,FutOnly
REX ZONE 3 INDEX - ICE FUTURES ENERGY DIV,210803,2021-08-03,0233ED,IFED,1,23,23177,19390,21383,2706,0,0,0,0,0,0,434,0,22096,21817,1081,1360,23177,19390,21383,2706,0,0,0,0,0,0,434,0,22096,21817,1081,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,83.7,92.3,11.7,0,0,0,0,0,0,1.9,0,95.3,94.1,4.7,5.9,100,83.7,92.3,11.7,0,0,0,0,0,0,1.9,0,95.3,94.1,4.7,5.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,10,.,0,0,0,0,0,0,.,0,12,11,20,11,10,.,0,0,0,0,0,0,.,0,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,74.3,89.2,89.7,66,68.9,86.7,84.4,66,74.3,89.2,89.7,66,68.9,86.7,84.4,0,0,0,0,0,0,0,0,2500 MMBtus,0233ED,IFED,23,N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,23651,NYME,1,23,1453997,215384,329355,297019,82662,86966,309063,231228,336140,37319,251399,109172,1391063,1426922,62934,27075,1453997,215384,329355,297019,82662,86966,309063,231228,336140,37319,251399,109172,1391063,1426922,62934,27075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17123,7929,9616,1116,-654,178,394,-2076,11260,-1622,-665,-2696,16559,14963,564,2160,100,14.8,22.7,20.4,5.7,6,21.3,15.9,23.1,2.6,17.3,7.5,95.7,98.1,4.3,1.9,100,14.8,22.7,20.4,5.7,6,21.3,15.9,23.1,2.6,17.3,7.5,95.7,98.1,4.3,1.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,44,43,23,16,29,98,32,76,26,55,59,283,235,317,44,43,23,16,29,98,32,76,26,55,59,283,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,27.7,31.3,38.6,13.6,13.8,19.6,20.7,20.6,27.7,31.3,38.6,13.6,13.8,19.6,20.7,0,0,0,0,0,0,0,0,"(Contracts of 10,000 MMBTU'S)",23651,NYME,23,N13,FutOnly
